CT Hotel ID,Market Name
1510000,Chains
1510068,Chains
1510036,Chains
1510074,Chains
1324944,Chains
1324902,Chains
1323100,Chains
1325650,Chains
1324894,Chains
1098116,Chains
1325654,Chains
1325656,Chains
1324908,Chains
1325416,Chains
1338578,Chains
1324914,Chains
1324918,Chains
1324940,Chains
1326108,Chains
1328008,Chains
1330798,Chains
1328748,Chains
1328750,Chains
1328754,Chains
1330800,Chains
1330852,Chains
1338584,Chains
1336464,Chains
1330808,Chains
1336462,Chains
1336468,Chains
1336570,Chains
1338586,Chains
1338588,Chains
1338592,Chains
1338594,Chains
1338600,Chains
739842,Chains
739922,Chains
740002,Chains
747682,Chains
747686,Chains
747640,Chains
746882,Chains
747658,Chains
747654,Chains
866558,Chains
747718,Chains
866572,Chains
866566,Chains
866564,Chains
866600,Chains
866562,Chains
866974,Chains
866596,Chains
955180,Chains
866976,Chains
868360,Chains
1324912,Chains
868392,Chains
955182,Chains
866972,Chains
868376,Chains
914738,Chains
914742,Chains
914752,Chains
955186,Chains
955190,Chains
955172,Chains
955208,Chains
955206,Chains
955214,Chains
955218,Chains
955222,Chains
868516,Chains
955304,Chains
955296,Chains
955308,Chains
1098114,Chains
955314,Chains
955310,Chains
955316,Chains
1324910,Chains
955328,Chains
1336572,Chains
1324662,Chains
1324892,Chains
866962,Chains
955286,Chains
866074,Chains
866594,Chains
1328746,Chains
868374,Chains
1328756,Chains
955212,Chains
1328752,Chains
1328738,Chains
914748,Chains
1328736,Chains
1325414,Chains
1324924,Chains
747642,Chains
780894,Chains
866574,Chains
955158,Chains
955184,Chains
1328744,Chains
870092,Chains
957104,Chains
870096,Chains
1324942,Chains
1324938,Chains
955220,Chains
1336454,Chains
868386,Chains
955236,Chains
1328734,Chains
1324896,Chains
747714,Chains
1324930,Chains
914750,Chains
955306,Chains
866568,Chains
1324934,Chains
956244,Chains
1350192,Chains
1357314,Chains
308541,Chains
954946,Chains
1359084,Chains
41936,Chains
740491,Chains
740493,Chains
740489,Chains
740495,Chains
1329774,Chains
1358482,Chains
1360368,Chains
1349120,Chains
378601,Chains
2044690,Chains
2044566,Chains
1362004,Chains
1328578,Chains
1358490,Chains
1358486,Chains
736416,Chains
732014,Chains
1332702,Chains
1343864,Chains
716297,Chains
1359024,Chains
377604,Chains
41984,Chains
328700,Chains
1338538,Chains
40167,Chains
159127,Chains
159153,Chains
316139,Chains
260737,Chains
329279,Chains
388143,Chains
