Booking_hotel_id,Booking_hotel_url,cleartrip_hotel_id,TA_hotel_id,cthotel_name,TA_url,Booking_hotel_name,TA_city_name
2082266,https://www.booking.com/hotel/in/vaani-villa-service-apartments.en-gb.html,713741,3453712,Vaani Villa Service Apartments,https://www.tripadvisor.in/Hotel_Review-d3453712.html,Vaani Villa Service Apartments,Madurai
2083161,https://www.booking.com/hotel/in/orient.en-gb.html,722611,2040628,Hotel Orient Kota,https://www.tripadvisor.in/Hotel_Review-d2040628.html,Hotel Orient,Kota
2083183,https://www.booking.com/hotel/in/raj-shanti-guest-house.en-gb.html,723259,4322142,Raj Shanti Guest House Sarnath,https://www.tripadvisor.in/Hotel_Review-d4322142.html,Raj Shanti Guest House,Varanasi
2083226,https://www.booking.com/hotel/in/the-triple-c-cuttack1.en-gb.html,389235,1948892,The Triple C,https://www.tripadvisor.in/Hotel_Review-d1948892.html,Hotel The Triple C,Cuttack
2083401,https://www.booking.com/hotel/in/heritage-resort-bikaner-bikaner1.en-gb.html,375358,897052,Heritage Resort Bikaner,https://www.tripadvisor.in/Hotel_Review-d897052.html,Heritage Resort Bikaner,Bikaner
2083424,https://www.booking.com/hotel/in/arya-varanasi1.en-gb.html,719799,5308886,Hotel Arya,https://www.tripadvisor.in/Hotel_Review-d5308886.html,Hotel Arya,Varanasi
2083516,https://www.booking.com/hotel/in/ima-house.en-gb.html,708963,4232677,Hotel IMA House,https://www.tripadvisor.in/Hotel_Review-d4232677.html,IMA House,Kochi
2083749,https://www.booking.com/hotel/in/barahdari.en-gb.html,725360,1976624,Hotel Barahdari,https://www.tripadvisor.in/Hotel_Review-d1976624.html,Hotel Barahdari,Varanasi
2085118,https://www.booking.com/hotel/in/vits-nashik.en-gb.html,42146,735809,VITS Nashik,https://www.tripadvisor.in/Hotel_Review-d735809.html,VITS Nashik,Nashik
2085137,https://www.booking.com/hotel/in/natraj-dibrugarh.en-gb.html,42474,1150156,Hotel Natraj,https://www.tripadvisor.in/Hotel_Review-d1150156.html,Hotel Natraj,Dibrugarh
2085138,https://www.booking.com/hotel/in/spring-valley.en-gb.html,81732,1058698,Hotel Spring Valley,https://www.tripadvisor.in/Hotel_Review-d1058698.html,Hotel Spring Valley,Kodaikanal
2085152,https://www.booking.com/hotel/in/luciya.en-gb.html,714886,1156045,Hotel Luciya,https://www.tripadvisor.in/Hotel_Review-d1156045.html,Hotel Luciya,Kochi
2085474,https://www.booking.com/hotel/in/sv-haldwani.en-gb.html,1327668,9466654,Hotel SV Haldwani,https://www.tripadvisor.in/Hotel_Review-d9466654.html,Hotel SV,Haldwani
2085614,https://www.booking.com/hotel/in/cee-cee-tower.en-gb.html,714939,5075435,Hotel Cee Cee Tower,https://www.tripadvisor.in/Hotel_Review-d5075435.html,Hotel Cee Cee Tower,Kochi
2085618,https://www.booking.com/hotel/in/vintage-inn-kochi.en-gb.html,376955,1675655,Vintage Inn,https://www.tripadvisor.in/Hotel_Review-d1675655.html,Vintage Inn,Kochi
2085744,https://www.booking.com/hotel/in/krishna-mount-view.en-gb.html,730171,1405340,Hotel Krishna Mountview,https://www.tripadvisor.in/Hotel_Review-d1405340.html,Krishna Mount View,Kausani
2087248,https://www.booking.com/hotel/in/thejas-resorts-wayanad.en-gb.html,1361814,10824405,Thejas Resort Wayanad,https://www.tripadvisor.in/Hotel_Review-d10824405.html,Thejas Resorts Wayanad,Wayanad
2087304,https://www.booking.com/hotel/in/nanda-inn.en-gb.html,719911,1894611,Nanda Inn,https://www.tripadvisor.in/Hotel_Review-d1894611.html,Nanda Inn,Kochi
2087389,https://www.booking.com/hotel/in/the-dewachen-retreat.en-gb.html,708975,4866517,The Dewachen Retreat,https://www.tripadvisor.in/Hotel_Review-d4866517.html,Jagjeet's Dewachen Retreat,Gangtok
2087704,https://www.booking.com/hotel/in/enkay-residency-jcm.en-gb.html,1361084,1818895,Enkay Residency JCM,https://www.tripadvisor.in/Hotel_Review-d1818895.html,Enkay Residency JCM-Cyber City,Gurgaon
2088951,https://www.booking.com/hotel/in/aqua-marina-drive-inn.en-gb.html,714247,2546339,Aqua Marina Drive Inn,https://www.tripadvisor.in/Hotel_Review-d2546339.html,Aqua Marina Drive Inn,Mandarmoni
2091063,https://www.booking.com/hotel/in/amrit-regency-guwahati.en-gb.html,866638,1116871,Amrit Regency,https://www.tripadvisor.in/Hotel_Review-d1116871.html,Hotel Amrit Regency,Guwahati
2091153,https://www.booking.com/hotel/in/kalika-palace.en-gb.html,354423,1957077,Hotel Kalika Palace,https://www.tripadvisor.in/Hotel_Review-d1957077.html,Hotel Kalika Palace,Udaipur
2091207,https://www.booking.com/hotel/in/aquasserenne-resort.en-gb.html,313902,320389,Aquasserenne Resort,https://www.tripadvisor.in/Hotel_Review-d320389.html,Aquasserenne Resort,Kollam
2091286,https://www.booking.com/hotel/in/shelter-gwalior.en-gb.html,40511,730105,Hotel Shelter Gwalior,https://www.tripadvisor.in/Hotel_Review-d730105.html,Hotel Shelter,Gwalior
2091499,https://www.booking.com/hotel/in/tharavadu-heritage-home.en-gb.html,314638,522651,Tharavadu Heritage Home,https://www.tripadvisor.in/Hotel_Review-d522651.html,Tharavadu Heritage Home,Kumarakom
2093096,https://www.booking.com/hotel/in/aravali-clarks-inn.en-gb.html,380597,736193,Aravali Clarks Inn,https://www.tripadvisor.in/Hotel_Review-d736193.html,Aravali Clarks Inn,Alwar
2093726,https://www.booking.com/hotel/in/dreams-n-dares.en-gb.html,1362134,11717289,Dreams & Dares,https://www.tripadvisor.in/Hotel_Review-d11717289.html,Dreams n Dares,Udaipur
2093810,https://www.booking.com/hotel/in/huda-city-center-serviced-apartment-gurgaon.en-gb.html,916340,6950507,Asian Suites,https://www.tripadvisor.in/Hotel_Review-d6950507.html,Asian Suites 585 IFFCO Metro,Gurgaon
2094848,https://www.booking.com/hotel/in/dharamlok.en-gb.html,717058,3661497,Hotel Dharamlok,https://www.tripadvisor.in/Hotel_Review-d3661497.html,Hotel Dharamlok,Agra
2097941,https://www.booking.com/hotel/in/indus-amritsar.en-gb.html,708301,812576,Hotel Indus,https://www.tripadvisor.in/Hotel_Review-d812576.html,Hotel Indus,Amritsar
2098032,https://www.booking.com/hotel/in/chanakya-resort.en-gb.html,375336,3205340,Chanakya Resort,https://www.tripadvisor.in/Hotel_Review-d3205340.html,Chanakya Resort,Rishikesh
