CT Hotel ID,AVERAGE_PRICE_DIFFERENCE
358540,-450
358541,4020
358579,-447
358584,-649
358602,-600
358619,1600
358621,6500
358622,260.333333333
358685,2000
358687,7351
374803,1400
374862,258
374887,500
374902,502.5
374907,-500
374926,1980
374927,-5000
374984,-400
375050,500
375094,-200
375096,1333.33333333
375109,-410
375113,-200
375134,-791
375177,507
375195,300
375235,1304
375277,1800
375279,-1251
375281,-2625
375334,200
375335,-968.5
375356,6000
375376,-2866.66666667
375378,1213.5
375419,969
375438,1875
375439,1500
375455,1000
375474,-1601
375475,-1200
375484,711
375499,-300
375517,6012
375520,100
375535,600
375554,200
375604,1200
375607,1918
375934,-500
375936,12500
375957,450
376112,1200
376955,-1200
376995,-7000
377058,4958
377077,168.8
377240,100
377280,1199.5
377327,-190.5
377331,-1000
377343,1000
377345,-500
377361,249.5
377368,459
377372,-300
377378,-1150
377401,-500
377459,199
377484,-300
377498,-166
377502,1175
377558,425
377559,13333.3333333
377565,1300
377588,-500
377594,10000
377603,-634
377641,-1500
377645,1001
377646,-180
377665,-450
377668,1617
377669,-1844.36111111
377683,749
377706,500
377710,500
377711,-1059
377717,350
377721,-1300
377722,-38.6666666667
377725,-426
377736,178
377739,-7300
377741,421
377744,-750
377763,-200
377764,6
377766,1382
377776,500
378086,-1000
378145,300
378167,2336.66666667
378224,265.5
378228,250.5
378230,-7331
378246,400
378287,485.5
378290,-2567.16666667
378324,416.666666667
378325,599
378369,511.166666667
378390,1500
378392,276.5
378533,-400
378537,-501
378573,900
378575,-758
378595,-2700
378597,-439
378598,1000
378599,1190
378600,6000
378626,10000
378660,8650.5
378686,250
378690,-1200
378701,-1998
378703,-308
378722,-2525
378729,750
378730,400
378733,-201
378763,-4100
378786,-300
378793,-1002
378801,-1005.5
378810,251.666666667
378811,633.333333333
378812,266.666666667
378833,408.666666667
378858,501
378862,-1833.33333333
378869,-665
378904,591
378905,440
378940,-400
378941,450
378946,-11250.5
378949,250
378952,-1000
378964,-300
378966,500
378967,937.5
378975,7871.83333333
378977,125
378978,-1000
379005,-276
379062,384.166666667
379068,-555
379072,817.5
379074,1400
379080,-241.666666667
379081,500
379087,-1000
379120,92.5
379128,2058.4
379132,2150
379134,1250
379138,-1470
379158,500
379161,-451
379163,-1
379173,-400
379184,820
379190,350
379201,327
379204,3000
379248,3602.27272727
379253,250
379260,500
379264,250
379280,-290
379346,27100
379378,-1000
379387,400
379388,-100.5
379389,900
379403,1100
379412,5000
379421,680
379753,200
379757,350
379807,300
379844,500
379851,3000
379880,1025
379886,1100.0
379888,205
379890,140.5
379891,1524.0
379903,1500
379924,-300
379994,-283.333333333
379998,125
380002,166.666666667
380241,-300
380282,400.5
380296,-5833.33333333
380315,445
380324,1066.66666667
380336,1000
380369,-200
380372,-633.333333333
380393,-3577.41666667
380434,-300
380456,-3065.13333333
380459,-2400
380460,-550
380476,325
380478,-514.125
380517,1000
380519,-900
380521,225.5
380573,-350
380575,-490
380596,-300
380613,149
380661,751
380693,1900
380736,166.666666667
380814,325
380834,-1503
380856,400
380861,-870.5
380863,704.5
380887,600
380889,178
380905,-750
380928,-533.333333333
380965,3000
381007,800
381067,-300
381167,-1500
381239,-349
381373,1250
381419,540
381422,-267
381587,-890.678571429
381608,-600
381627,333
381651,-3225
381794,575
381812,1000
381948,-300
381969,-15000
381988,-650
382008,1104.16666667
382028,-400
382069,-6250
382078,-1333.33333333
382190,500
382211,2013.5
382212,125
382252,6000
382329,1763
382429,-400
382490,350
382491,-179
382495,-1103.33333333
382528,-150
382751,-501
382850,350
382957,-600
382991,-1729.16666667
383090,-1412.5
383132,-1622.5
383137,1001
383170,1518.75
383251,-6799.6
383292,-4000
383390,13000
383410,150
383610,-500
383632,737.5
383654,-2050
383656,-125
383690,3300
383712,1500
383800,975
383813,483
383854,-775
383876,500
383878,316.666666667
383880,-550
383894,610
383895,-492.166666667
383977,-761
383993,907
384055,400
384114,370
384174,5500
384234,762
384315,550
384334,-4550
384354,300
384355,-857
384358,405
384375,-1000
384377,429
384553,-651
384557,-1000
384613,487.5
384635,124.5
384659,450
384673,533.333333333
